country,year,healthy_life_years
BE,2012,64.6
BE,2013,63.9
BE,2014,64.1
BE,2015,64.2
BE,2016,63.7
BE,2017,63.7
BE,2018,63.4
BE,2019,62.4
BE,2020,63.8
BE,2021,64.6
BE,2022,63.7
BE,2023,64.0
DE,2012,57.6
DE,2013,57.4
DE,2014,56.5
DE,2015,66.4
DE,2016,66.4
DE,2017,66.0
DE,2018,65.8
DE,2019,66.3
DE,2020,65.7
DE,2021,65.6
DE,2022,61.1
DE,2023,62.5
EE,2012,55.1
EE,2013,55.5
EE,2014,55.2
EE,2015,55.0
EE,2016,56.8
EE,2017,56.0
EE,2018,53.9
EE,2019,55.8
EE,2020,57.6
EE,2021,56.5
EE,2022,59.3
EE,2023,58.1
IE,2012,67.2
IE,2013,66.9
IE,2014,66.9
IE,2015,67.2
IE,2016,68.5
IE,2017,68.6
IE,2018,69.4
IE,2019,69.6
IE,2020,66.2
IE,2021,67.2
IE,2022,66.0
IE,2023,66.1
EL,2012,64.9
EL,2013,64.9
EL,2014,64.5
EL,2015,64.0
EL,2016,64.3
EL,2017,64.8
EL,2018,65.4
EL,2019,66.0
EL,2020,65.9
EL,2021,65.6
EL,2022,67.0
EL,2023,66.6
ES,2012,65.3
ES,2013,64.3
ES,2014,65.0
ES,2015,64.0
ES,2016,66.2
ES,2017,69.4
ES,2018,68.0
ES,2019,69.9
ES,2020,66.3
ES,2021,62.8
ES,2022,61.2
ES,2023,62.1
FR,2012,63.2
FR,2013,63.6
FR,2014,63.8
FR,2015,63.6
FR,2016,63.4
FR,2017,63.7
FR,2018,63.9
FR,2019,64.1
FR,2020,64.6
FR,2021,66.2
FR,2022,64.4
FR,2023,63.8
HR,2012,63.1
HR,2013,59.0
HR,2014,59.3
HR,2015,56.1
HR,2016,57.9
HR,2017,57.6
HR,2018,57.5
HR,2019,57.4
HR,2020,58.5
HR,2021,58.6
HR,2022,60.3
HR,2023,61.4
IT,2012,61.8
IT,2013,61.6
IT,2014,62.4
IT,2015,62.6
IT,2016,67.4
IT,2017,66.3
IT,2018,66.8
IT,2019,68.3
IT,2020,68.0
IT,2021,68.1
IT,2022,67.4
IT,2023,69.1
CY,2012,63.7
CY,2013,64.7
CY,2014,66.0
CY,2015,63.3
CY,2016,68.2
CY,2017,65.2
CY,2018,62.2
CY,2019,62.5
CY,2020,62.9
CY,2021,65.7
CY,2022,66.0
CY,2023,65.0
LV,2012,56.8
LV,2013,53.0
LV,2014,53.4
LV,2015,53.0
LV,2016,53.6
LV,2017,51.4
LV,2018,52.3
LV,2019,53.1
LV,2020,53.4
LV,2021,53.8
LV,2022,54.2
LV,2023,52.7
LT,2012,59.1
LT,2013,59.2
LT,2014,59.7
LT,2015,56.5
LT,2016,57.8
LT,2017,58.1
LT,2018,57.7
LT,2019,57.5
LT,2020,56.8
LT,2021,57.6
LT,2022,60.3
LT,2023,60.9
LU,2012,66.1
LU,2013,63.3
LU,2014,63.8
LU,2015,62.2
LU,2016,60.2
LU,2017,59.2
LU,2018,60.7
LU,2019,62.6
LU,2020,63.3
LU,2021,62.0
LU,2022,60.2
LU,2023,
MT,2012,71.9
MT,2013,72.1
MT,2014,73.4
MT,2015,73.6
MT,2016,71.7
MT,2017,72.7
MT,2018,72.7
MT,2019,73.2
MT,2020,70.5
MT,2021,68.7
MT,2022,70.2
MT,2023,71.4
NL,2012,61.2
NL,2013,59.5
NL,2014,61.2
NL,2015,59.1
NL,2016,60.3
NL,2017,60.0
NL,2018,59.2
NL,2019,61.0
NL,2020,61.1
NL,2021,60.3
NL,2022,58.5
NL,2023,59.0
AT,2012,61.4
AT,2013,59.9
AT,2014,57.7
AT,2015,58.0
AT,2016,57.0
AT,2017,57.1
AT,2018,56.9
AT,2019,57.3
AT,2020,58.7
AT,2021,61.8
AT,2022,60.9
AT,2023,60.4
PT,2012,63.6
PT,2013,63.0
PT,2014,56.9
PT,2015,56.5
PT,2016,58.6
PT,2017,58.5
PT,2018,58.6
PT,2019,59.2
PT,2020,59.7
PT,2021,58.3
PT,2022,59.1
PT,2023,59.6
SI,2012,56.0
SI,2013,58.5
SI,2014,58.7
SI,2015,58.1
SI,2016,58.3
SI,2017,55.0
SI,2018,55.5
SI,2019,60.9
SI,2020,65.1
SI,2021,65.4
SI,2022,66.7
SI,2023,66.6
SK,2012,53.3
SK,2013,54.4
SK,2014,55.1
SK,2015,54.9
SK,2016,56.7
SK,2017,55.6
SK,2018,56.1
SK,2019,56.2
SK,2020,56.7
SK,2021,56.8
SK,2022,57.3
SK,2023,57.5
FI,2012,56.7
FI,2013,
FI,2014,58.2
FI,2015,57.8
FI,2016,58.1
FI,2017,57.4
FI,2018,57.4
FI,2019,56.4
FI,2020,56.9
FI,2021,61.7
FI,2022,57.9
FI,2023,57.1
